,CO_ENTIDADE,NO_ENTIDADE,END,BAIRRO,LAT,LON,CEP,MUN,UF,PAIS,CO_MUNICIPIO,TP_DEPENDENCIA,IN_CONVENIADA_PP,IN_AGUA_FILTRADA,IN_ESGOTO_REDE_PUBLICA,IN_LABORATORIO_INFORMATICA,IN_LABORATORIO_CIENCIAS,IN_QUADRA_ESPORTES,IN_BIBLIOTECA,IN_PARQUE_INFANTIL,IN_DEPENDENCIAS_PNE,IN_PATIO_COBERTO,IN_PATIO_DESCOBERTO,IN_INTERNET,QT_FUNCIONARIOS,IN_ALIMENTACAO,TP_AEE,TP_ATIVIDADE_COMPLEMENTAR,IN_ESPECIAL_EXCLUSIVA,IN_PROFISSIONALIZANTE,IDEB14_17,PROJ14_17,IDEB58_17,PROJ58_17,docentes,docentes_superior,docentes_especializ,docentes_mestrado,docentes_doutorado,docentes_posnenhum,docentes_continuada,IN_BRAILLE,IN_RECURSOS_BAIXA_VISAO,IN_PROCESSOS_MENTAIS,IN_ORIENTACAO_MOBILIDADE,IN_SINAIS,IN_COMUNICACAO_ALT_AUMENT,IN_ENRIQ_CURRICULAR,IN_SOROBAN,IN_INFORMATICA_ACESSIVEL,IN_PORT_ESCRITA,IN_AUTONOMIA_ESCOLAR,IN_DISC_LINGUA_INGLES,IN_DISC_LINGUA_ESPANHOL,IN_DISC_LINGUA_FRANCES,IN_DISC_ATENDIMENTO_ESPECIAIS,IN_DISC_DIVER_SOCIO_CULTURAL,ID_MATRICULA,CO_ESCOLA,media_enem,NU_DDD,NU_TELEFONE,ATU_INF,ATU_FUN,ATU_MED,tap_F14,tap_F04,tap_FUN,tap_MED,tre_FUN,tre_F14,tre_F04,tre_MED,tab_FUN,tab_F14,tab_F04,tab_MED,TDI_FUN,TDI_MED
207,43105882,ESC EST ENS FUN ARAGUAIA,"Estrada Gedeon Leite, 780, Ipanema, Porto Alegre - RS, 91787-770, Brazil",Ipanema,-30.15414,-51.18291,91787-770,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,1.0,1.0,0.0,0.0,0.0,,5.8,,5.2,25,25,7,3,0,15,6,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,716,,,51,32683110,,25.6,,90.0,78.9,84.3,,13.0,10.0,15.8,,2.7,0.0,5.3,,28.2,
208,43105890,ESC EST ENS FUN ARAUJO PORTO ALEGRE,"Rua Pandiá Calógeras, 429, Sarandi, Porto Alegre - RS, 91120-560, Brazil",Sarandi,-29.9891571,-51.1252001,91120-560,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,29.0,1.0,0.0,0.0,0.0,0.0,5.3,4.9,3.8,4.8,19,18,9,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,398,43105890.0,0.0,51,-,,21.5,,88.4,73.0,81.4,,18.6,11.6,27.0,,0.0,0.0,0.0,,28.2,
209,43105904,ESC EST ENS FUN ARAUJO VIANA,"Rua Nove de Junho, 542, São José, Porto Alegre - RS, 91520-610, Brazil",São José,-30.066999999999997,-51.162,91520-610,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,33.0,1.0,1.0,0.0,0.0,0.0,,4.5,,4.3,18,17,8,0,0,9,7,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,405,,,51,33182807,,21.3,,84.9,73.4,78.9,,21.1,15.1,26.6,,0.0,0.0,0.0,,34.1,
210,43105920,ESC EST ENS FUN BAEPENDI,"Estrada dos Alpes, 37, Teresópolis, Porto Alegre - RS, 91720-120, Brazil",Teresópolis,-30.084740000000004,-51.19936,91720-120,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,,,14,14,5,1,0,8,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,177,,,51,33525002,,19.7,,81.4,81.3,81.3,,18.7,18.6,18.7,,0.0,0.0,0.0,,39.0,
211,43105939,ESC EST ENS FUN BAHIA,"Rua Professor Angelito Asmus Aiquel, 205, Boa Vista, Porto Alegre - RS, 91340-410, Brazil",Boa Vista,-30.025290000000002,-51.174820000000004,91340-410,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,0.0,0.0,0.0,0.0,,5.6,,,18,13,5,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,170,,,51,33287113,,18.9,,82.9,87.0,83.4,,16.6,17.1,13.0,,0.0,0.0,0.0,,17.6,
212,43105947,ESC EST ENS FUN PADRE BALDUINO RAMBO,"Rua Humberto de Campos, 130, Partenon, Porto Alegre - RS, 90660-280, Brazil",Partenon,-30.0591586,-51.1956025,90660-280,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,1.0,0.0,0.0,0.0,,5.6,,3.7,15,12,3,1,0,8,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,79,,,51,-,,8.8,,82.9,40.0,63.2,,31.6,17.1,48.6,,5.2,0.0,11.4,,50.6,
213,43105963,ESC EST ENS FUN MARGARIDA COELHO DE SOUZA,"Avenida do Lami, 4742, Lageado, Porto Alegre - RS, 91780-120, Brazil",Lageado,-30.2121,-51.13212,91780-120,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,,5.2,,,7,6,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,,,51,32585221,,14.8,,67.1,,67.1,,32.9,32.9,,,0.0,0.0,,,29.1,
214,43105971,ESC EST ENS FUN PROFESSORA BRANCA DIVA PEREIRA DE SOUZA,"Avenida São Paulo, 1020, São Geraldo, Porto Alegre - RS, 90230-160, Brazil",São Geraldo,-30.01199,-51.20563,90230-160,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,,5.8,,5.0,12,11,4,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,113,,,51,32220180,,14.1,,82.2,57.9,68.6,,24.5,15.6,31.6,,6.9,2.2,10.5,,49.6,
215,43105980,ESC EST ENS FUN BRASILIA,"Rua Dona Margarida, 1199, São João, Porto Alegre - RS, 90240-610, Brazil",São João,-30.000529999999998,-51.19089,90240-610,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,0.0,0.0,6.3,6.3,4.9,5.6,13,11,7,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,141,,,51,33255808,,15.7,,94.4,58.2,77.0,,23.0,5.6,41.8,,0.0,0.0,0.0,,24.8,
216,43105998,ESC EST ENS FUN BRIGADEIRO FRANCISCO DE LIMA E SILVA,"Rua Tunísia, 60, Vila Ipiranga, Porto Alegre - RS, 91370-290, Brazil",Vila Ipiranga,-30.016769300000004,-51.1490086,91370-290,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,43.0,1.0,1.0,0.0,0.0,0.0,7.0,6.9,5.8,5.8,23,23,6,0,0,17,5,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,459,,,51,-,,25.5,,98.3,84.1,91.7,,8.3,1.7,15.9,,0.0,0.0,0.0,,9.2,
